exchgID,state,action,theme,UI,utterance
00_S,io_Nx_n,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.0,はい
01_S,ct_Nx_n,qs,default,-, 具体的には教えてもらえますか？
01_U,-,-,-,4.0,何も言ってないです
02_S,qs_Nx_n,re,default,-, なるほど、そうなんですね。
02_U,-,-,-,3.0,はい
03_S,re_Nx_l,qs,旅行,-, さいきん旅行には行きましたか？
03_U,-,-,-,4.0,行きましたよ
04_S,qs_Nx_n,io,旅行,-, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
04_U,-,-,-,5.0,そうなんですね，行ってみたいです
05_S,io_Nx_h,qs,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
05_U,-,-,-,5.0,九州ですかね
06_S,qs_No_h,re,default,-, すごいですね！
06_U,-,-,-,5.0,ぜひ行ってみてください
07_S,re_Nx_h,qs,旅行,-, 「温泉」などリフレッシュするためにいきますか？
07_U,-,-,-,5.0,まあたまに行きますね
08_S,qs_No_h,re,default,-, なるほど、よくご存じですね・・
08_U,-,-,-,4.0,はい
09_S,re_Nx_n,qs,default,-, 具体的に教えてください？
09_U,-,-,-,3.0,なにをですか？
