name,lenS,label,名詞,agent_utterance,cls,theme,freq,agent_utterance_refine,depend_word,nod_word,thank_word,questionmark,default,スポーツ,旅行,音楽,食事,UI3average,UI3average_diff
1902F2001_007,5,4.4,0, なるほど。,1,default,47, なるほど。,0,1,0,0,1,0,0,0,0,4.4,0
1902F2001_008,8,4.8,0, 本当ですか！,3,default,19, 本当ですか！,0,0,0,0,1,0,0,0,0,4.8,0.4
1902F2001_008,8,4.8,0, 本当ですか！,3,default,19, 本当ですか！,0,0,0,0,1,0,0,0,0,4.8,0
1902F2001_011,23,5,1, 甘いものと、からいものどちらがお好きですか？,2,食事,30, 甘いものと辛いもののどちらがお好きですか？,0,0,0,1,0,0,0,0,1,5,0.2
1902F2001_012,44,5.6,1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,2,食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,0,0,0,1,0,0,0,0,1,5.6,0.6
1902F2001_013,19,4.6,0, そうですか、とても美味しそうですね・・,1,食事,8, そうですか、とても美味しそうですね。,0,1,0,0,0,0,0,0,1,4.6,-1
1902F2001_014,20,4.4,1, 普段はどこでスイーツを買いますか？,2,食事,23, 普段はどこでスイーツを買いますか？,0,0,0,1,0,0,0,0,1,4.4,-0.199999999999999
1902F2001_015,45,5.8,0, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,2,食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？,0,0,0,1,0,0,0,0,1,5.8,1.4
1902F2001_016,18,4.8,2, 具体的にはどういったものですか？,6,default,19, 具体的にはどういったものですか？,1,0,0,1,1,0,0,0,0,4.8,-1
1902F2001_066,18,4.6,6, 具体的にはどういったものですか？,6,default,19, 具体的にはどういったものですか？,1,0,0,1,1,0,0,0,0,4.6,-0.2
1902F2001_017,24,4.8,1, その中でもおすすめのスイーツはありますか？,0,食事,20, その中でもおすすめのスイーツはありますか？,1,0,0,1,0,0,0,0,1,4.8,0.2
1902F2001_018,13,4,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,4,-0.8
1902F2001_028,13,4,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,4,0
1902F2001_037,13,3.6,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,3.6,-0.4
1902F2001_055,13,3.8,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,3.8,0.2
1902F2001_069,13,3.8,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,3.8,0
1902F2001_077,13,4,0, なるほど、そうなんですね。,1,default,128, なるほど、そうなんですね。,0,1,0,0,1,0,0,0,0,4,0.2
1902F2001_023,15,5.6,0, 最近スポーツはしましたか？,2,スポーツ,7, 最近スポーツはしましたか？,0,0,0,1,0,1,0,0,0,5.6,1.6
1902F2001_024,14,6.4,0, 好きなスポーツはなんですか？,2,スポーツ,3, 好きなスポーツはなんですか？,0,0,0,1,0,1,0,0,0,6.4,0.800000000000001
1902F2001_026,21,6.4,0, なるほど、健康的で、ステキですね・・,1,スポーツ,10, なるほど、健康的で素敵ですね。,0,1,0,0,0,1,0,0,0,6.4,0
1902F2001_030,21,4.6,0, なるほど、健康的で、ステキですね・・,1,スポーツ,10, なるほど、健康的で素敵ですね。,0,1,0,0,0,1,0,0,0,4.6,-1.8
1902F2001_027,18,5.8,5, スポーツをする目的は何ですか？,2,スポーツ,6, スポーツをする目的は何ですか？,0,0,0,1,0,1,0,0,0,5.8,1.2
1902F2001_029,29,5.6,0, 健康のために、気をつけていることはありますか？,0,スポーツ,16, 健康のために、気をつけていることはありますか？,1,0,0,1,0,1,0,0,0,5.6,-0.2
