exchgID,state,action,theme,UI,utterance
00_S,io_Nx_n,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.0,はい
01_S,ct_Nx_n,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
01_U,-,-,-,4.0,国内ばかりですね．
02_S,qs_No_n,re_o_m,default,-, なるほど、それは面白そうですね。
02_U,-,-,-,5.0,日本でもいいとこありますよ
03_S,re_No_h,qs_o_s,旅行,-, その旅先で美味しい食べ物はたべましたか・・
03_U,-,-,-,5.0,海鮮が好きなので，そればかり食べます
04_S,qs_No_h,re_o_m,旅行,-, なるほど、それは素晴らしい経験ですね。
04_U,-,-,-,5.0,ぜひ食べてみてください
05_S,re_Nx_h,qs_o_s,旅行,-, その旅先で何かハプニングはありましたか!
05_U,-,-,-,4.0,特にないかな
06_S,qs_Nx_n,qs_o_d,default,-, 具体的に教えてもらっていいですか？
06_U,-,-,-,3.0,ないです
07_S,qs_Nx_l,re_x_m,default,-, なるほど、そうなんですね・・
07_U,-,-,-,3.0,はい
08_S,re_Nx_l,io,旅行,-, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
08_U,-,-,-,4.0,海外もいいと思うんですけどねーー
09_S,io_No_n,io,旅行,-, すごい！面白い体験をされましたね!
09_U,-,-,-,4.0,行ってないです
