exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_2_Nx_h_ne,change_theme,-,-, *** これからスポーツの話をしましょう***
00_U,-,-,-,3.649268879543051,
01_S,ct_0,qs_x_s,スポーツ,-, 最近スポーツはしましたか？
01_U,-,-,-,4.257700959177506,
02_S,qs_x_s_8_Nx_n_po,qs_x_s,スポーツ,-, スポーツはするほうが好きですか？それとも見るほうが好きですか？
02_U,-,-,-,4.332604032634061,
03_S,qs_x_s_0_Nx_n_po,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
03_U,-,-,-,4.333290147074913,
04_S,qs_x_s_10_Nx_n_po,qs_x_s,スポーツ,-, パリで開催されるオリンピックを、見にいく予定はありますか？
04_U,-,-,-,4.195168951878118,
05_S,qs_x_s_11_Nx_n_po,qs_x_s,スポーツ,-, スポーツはよくするんですか？
05_U,-,-,-,4.185678357026691,
06_S,qs_x_s_6_Nx_n_po,qs_x_s,スポーツ,-, なにかおすすめのスポーツ観戦はありますか？
06_U,-,-,-,4.317807340482024,
07_S,qs_x_s_9_Nx_n_po,qs_x_s,スポーツ,-, どんなスポーツをされますか？
07_U,-,-,-,4.644579649082157,
08_S,qs_x_s_7_Nx_n_po,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
08_U,-,-,-,4.377841200281125,
09_S,qs_x_s_3_Nx_n_po,io,スポーツ,-, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。
09_U,-,-,-,4.180758568343952,
10_S,io_0_Nx_n_po,qs_x_s,スポーツ,-, スポーツをする目的は何ですか？
10_U,-,-,-,4.6193531604625395,
11_S,qs_x_s_2_Nx_n_po,qs_x_s,スポーツ,-, 好きなスポーツはなんですか？
11_U,-,-,-,4.516275930620949,
12_S,qs_x_s_4_Nx_n_po,qs_x_s,スポーツ,-, オリンピックは今までに見たことはありますか？
12_U,-,-,-,4.330750324288587,
13_S,qs_x_s_17_Nx_n_po,change_theme,-,-, *** これから音楽の話をしましょう***
13_U,-,-,-,3.9304932636003707,
14_S,ct_0,qs_x_s,音楽,-, カラオケでよくなにをうたうのですか？
14_U,-,-,-,4.497437463146575,
15_S,qs_x_s_16_Nx_n_po,qs_x_s,音楽,-, おすすめの歌手やきょくってありますか？
15_U,-,-,-,4.289205399935486,
16_S,qs_x_s_13_Nx_n_po,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
