exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_10_Nx_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
00_U,-,-,-,3.8948728738800926,
01_S,ct_0,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
01_U,-,-,-,5.118618542193043,普段は洋食に行きます
02_S,qs_x_s_22_No_h_po,qs_o_d,default,-, ほかには、ありますか？
02_U,-,-,-,5.012566087922272,他は中華とかラーメン屋さんとか行きます
03_S,qs_x_s_22_qs_o_d_0_No_h_po,qs_o_d,default,-,ラーメンですか。 もう少し詳しく教えていただいていいですか。
03_U,-,-,-,5.159778091151557,ラーメンのえっとなんかちょっと辛い系のラーメン だったり
04_S,qs_x_s_22_qs_o_d_0_No_h_po,qs_x_s,食事,-, お友達とランチに行ったりしますか？
04_U,-,-,-,4.906888581193047,11 ぐらいで行きます
05_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
05_U,-,-,-,5.179237189591468,甘いものだったら チョコレートをよく食べます
06_S,qs_x_s_29_No_h_po,qs_o_s,食事,-, その中でもおすすめのスイーツはありますか？
06_U,-,-,-,4.980448523193528,チョコレートで行ったらキットカットとかその辺りです
07_S,qs_o_s_8_No_n_po,qs_o_d,default,-,辺りですか。 それのどういったところが好きなんですか？
07_U,-,-,-,5.058732226333163,キットカットだと思ってキットカットしてて甘い
08_S,qs_o_d_0_No_h_ne,change_theme,-,-, *** これから音楽の話をしましょう***
08_U,-,-,-,3.9773556997930015,はい
09_S,ct_0,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
09_U,-,-,-,4.886493385129375,カラオケはたまに行ったりしますね
10_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, カラオケは好きですか？
10_U,-,-,-,4.8313082919785355,はい 好きです
11_S,qs_x_s_14_Nx_n_po,qs_x_s,音楽,-, おすすめの歌手やきょくってありますか？
11_U,-,-,-,4.930137953539646,おすすめは VOCALOID だったり
12_S,qs_x_s_13_No_n_po,qs_o_d,default,-,VOCALOIDですか。 もう少し詳しく教えていただいていいですか。
12_U,-,-,-,5.128197146191594,ボーカロイドはもう行かんですけど なんかいろんな曲 変えるって言うのか
13_S,qs_x_s_13_qs_o_d_0_No_h_po,qs_o_s,音楽,-, その作曲者のどういうところが好きなんですか？
13_U,-,-,-,5.247310538943781,いろんな曲があるって言うところ
14_S,qs_o_s_7_Nx_h_po,qs_x_s,音楽,-, コンサートとかには行きますか？
14_U,-,-,-,4.971242552156437,そうですね ライブに行ったりはします
15_S,qs_x_s_15_No_n_po,re_o_m,音楽,-,ライブですか。 とても楽しそうですね。
15_U,-,-,-,4.640807302361256,
16_S,re_o_m_0_Nx_n_po,qs_x_s,音楽,-, がっきは何を演奏するのですか。
16_U,-,-,-,5.130386093109122,楽器はドラムを演奏します
17_S,qs_x_s_19_No_h_po,re_o_m,default,-,ドラムですか。 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
17_U,-,-,-,4.725522302310104,初めてやる子には難しいかもですけど
18_S,re_o_m_0_No_n_po,qs_o_d,default,-, それのどういったところが好きなんですか？
18_U,-,-,-,5.24713825055966,体を動かせるところだったりなんか 爽快感があるところですね
19_S,qs_x_s_19_qs_o_d_0_No_h_po,re_x_m,default,-, そうですね、わかります。
19_U,-,-,-,4.141171311088187,
20_S,re_x_m_0_Nx_n_po,qs_x_s,音楽,-, カラオケでよくなにをうたうのですか？
20_U,-,-,-,5.137108194826396,カラオケは 先取り ボーカロイドだったり
21_S,qs_x_s_16_No_h_po,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
