cls,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine
0,3,3,1, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ, そのスポーツはテレビで鑑賞はされますか？
0,16,16,1, 健康のために、気をつけていることはありますか？,スポーツ, そのほか健康のために、気をつけていることはありますか？
0,2,2,1, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ, そのスポーツのおすすめポイントを教えてください？
0,9,9,1, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？
0,23,23,1, その旅先で何が一番楽しかったですか？,旅行, その旅先で何が一番楽しかったですか？
0,22,22,1, その旅先で美味しい食べ物はたべましたか・・,旅行, その旅先で美味しい食べ物はたべましたか？
0,16,16,1, ほかには何か面白いことはありましたか？,旅行, ほかには何か面白いことはありましたか？
0,5,5,1, その旅先で何かハプニングはありましたか!,旅行, その旅先で何かハプニングはありましたか？
0,7,7,1, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？
0,1,1,1, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？
0,10,10,1, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？
0,20,20,1, その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？
0,12,12,1, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？
0,1,1,1, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？
1,7,7,1, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。
1,16,16,1, なるほど、勉強になります・・,default, なるほど、勉強になります。
1,8,8,1, そうですね・・ぜひ参考にさせていただきます。,default, そうですね、ぜひ参考にさせていただきます。
1,5,5,1, そうですね。,default, そうですね。
1,1,1,1, そうですか、残念です・・,default, そうですか、残念です。
1,10,10,1, なるほど、面白そうですね！,default, なるほど、面白そうですね！
1,20,20,1, 楽しそうですね！,default, 楽しそうですね！
1,128,128,1, なるほど、そうなんですね。,default, なるほど、そうなんですね。
1,4,4,1, そうですね、わかります。,default, そうですね、わかります。
1,2,2,1, なるほど、そうなんですね・・,default, なるほど、そうなんですね。
1,4,4,1, たのしそうですね。,default, 楽しそうですね。
1,57,57,1, そうなんですね。,default, そうなんですね。
1,4,4,1, そうですか、なかなかですね。,default, そうですか、なかなかですね。
1,47,47,1, なるほど。,default, なるほど。
1,1,1,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！
1,2,2,1, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ, なるほど、面白そうですね。機会があれば私も見てみたいです！
1,10,10,1, なるほど、健康的で、ステキですね・・,スポーツ, なるほど、健康的で素敵ですね。
1,9,9,1, いいですね。テレビ観戦も楽しそうですね！,スポーツ, いいですね。テレビ観戦も楽しそうですね！
1,2,2,1, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
1,10,10,1, とても楽しそうですね。,音楽, とても楽しそうですね。
1,8,8,1, そうですか、とても美味しそうですね・・,食事, そうですか、とても美味しそうですね。
