exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_14_Nx_h_ne,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.0,はい
01_S,ct_0,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
01_U,-,-,-,4.0,ハワイ
02_S,qs_x_s_34_No_n_po,qs_o_d,default,-,ハワイですか。 もう少し詳しく教えていただいていいですか。
02_U,-,-,-,4.0,オアフ島です
03_S,qs_x_s_34_qs_o_d_0_No_n_po,re_o_m,default,-,オアフ島ですか。 なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
03_U,-,-,-,4.0,ぜひ
04_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
04_U,-,-,-,4.0,
05_S,qs_x_s_31_Nx_n_po,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
05_U,-,-,-,4.0,景色を見ること
06_S,qs_x_s_32_No_n_po,re_o_m,default,-,景色ですか。 なるほど、勉強になります・・
06_U,-,-,-,4.0,４
07_S,re_o_m_0_Nx_n_po,change_theme,-,-, *** これから食事の話をしましょう***
07_U,-,-,-,4.0,はい
08_S,ct_0,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
08_U,-,-,-,4.0,コンビニが多いかな
09_S,qs_x_s_24_No_n_po,qs_o_s,食事,-, その中でもおすすめのスイーツはありますか？
09_U,-,-,-,4.0,ない
10_S,qs_o_s_8_Nx_n_ne,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
10_U,-,-,-,4.0,ない
11_S,qs_x_s_4_Nx_n_ne,change_theme,-,-, *** これからスポーツの話をしましょう***
11_U,-,-,-,4.0,はい
12_S,ct_0,qs_x_s,スポーツ,-, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
12_U,-,-,-,4.0,知らなかったです
