clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,cls_ID4,ID117,cls_ID
0,2,2,1, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ, そのスポーツのおすすめポイントを教えてください？,qs_o_s,0,0,0_s_1,1,qs_o_s_0,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_0,0,qs_o_s_0
0,3,3,1, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ, そのスポーツはテレビで鑑賞はされますか？,qs_o_s,0,1,0_s_2,2,qs_o_s_1,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_1,1,qs_o_s_1
0,16,16,1, 健康のために、気をつけていることはありますか？,スポーツ, そのほか健康のために、気をつけていることはありますか？,qs_o_s,1,2,0_s_3,3,qs_o_s_2,qs_o_s_1,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_2,2,qs_o_s_2
0,4,4,1, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？,qs_o_s,0,3,0_s_4,4,qs_o_s_3,qs_o_s_0,qs_x_s_4,qs_x_s_7,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_3,3,qs_o_s_3
0,16,16,1, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？,qs_o_s,2,4,0_s_5,5,qs_o_s_4,qs_o_s_2,qs_x_s_8,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_4,4,qs_o_s_4
0,10,10,1, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？,qs_o_s,3,5,0_m_0,0,qs_o_s_5,qs_o_s_3,qs_x_s_16,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_5,5,qs_o_s_5
0,7,7,1, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？,qs_o_s,4,6,0_m_1,1,qs_o_s_6,qs_o_s_4,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_6,6,qs_o_s_6
0,1,1,1, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？,qs_o_s,5,7,0_m_2,2,qs_o_s_7,qs_o_s_5,qs_x_s_12,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_7,7,qs_o_s_7
0,20,20,1, その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？,qs_o_s,6,8,0_e_0,0,qs_o_s_8,qs_o_s_6,qs_x_s_24,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_8,8,qs_o_s_8
0,12,12,1, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？,qs_o_s,7,9,0_e_1,1,qs_o_s_9,qs_o_s_7,qs_x_s_23,qs_x_s_27,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_9,9,qs_o_s_9
0,1,1,1, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？,qs_o_s,8,10,0_e_2,2,qs_o_s_10,qs_o_s_8,qs_x_s_27,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_10,10,qs_o_s_10
