name,sys_utterance,user_utterance,UI3average,UI3average_diff,
1902F2001_007, なるほど。,＊,4.4,-0.8,
1902F2001_008, 本当ですか！,＊,4.8,0.4,
1902F2001_011, 甘いものと、からいものどちらがお好きですか？,甘いもの,5,1,
1902F2001_012, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,チョコレートです,5.6,0.6,
1902F2001_013, そうですか、とても美味しそうですね・・,＊,4.6,-1,
1902F2001_014, 普段はどこでスイーツを買いますか？,コンビニ,4.4,-0.199999999999999,
1902F2001_015, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,＊,5.8,1.4,
1902F2001_016, 具体的にはどういったものですか？,チョコレートかティンカーベル,4.8,-1,
1902F2001_017, その中でもおすすめのスイーツはありますか？,チョコレート,4.8,0,
1902F2001_018, なるほど、そうなんですね。,＊,4,-0.8,
1902F2001_021, 休日は家で過ごすほうが多いですか？外出することが多いですか？,＊,5,1,
1902F2001_022, そとで過ごすときはスポーツをしたりしますか・・,＊,6,1,
1902F2001_023, 最近スポーツはしましたか？,＊,5.6,-0.4,
1902F2001_024, 好きなスポーツはなんですか？,＊,6.4,0.800000000000001,
1902F2001_025, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,大学のサークルで,5.6,-0.800000000000001,
1902F2001_026, なるほど、健康的で、ステキですね・・,ありがとうございます,6.4,0.800000000000001,
1902F2001_027, スポーツをする目的は何ですか？,体を動かすのが好きだからストレス発散に,5.8,-0.600000000000001,
1902F2001_028, なるほど、そうなんですね。,＊,4,-1.8,
1902F2001_029, 健康のために、気をつけていることはありますか？,＊,5.6,1.6,
1902F2001_030, なるほど、健康的で、ステキですね・・,＊,4.6,-1,
1902F2001_031, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？,＊,5,0.4,
1902F2001_032, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。,＊,4.4,-0.6,
1902F2001_033, オリンピックは今までに見たことはありますか？,＊,5.4,1,
1902F2001_034, 具体的に教えてもらっていいですか？,シリアス系とか水泳とかオリンピックの期間にテレビでついてテレビつけたらやってるものは見てます,5.4,0,
1902F2001_035, なるほど、よくご存じですね・・,＊,4,-1.4,
1902F2001_036, そうですか。そのスポーツはテレビで鑑賞はされますか・・,＊,3.2,-0.8,
1902F2001_037, なるほど、そうなんですね。,＊,3.6,0.4,
1902F2001_038, パリで開催されるオリンピックを、見にいく予定はありますか？,＊,5.8,2.2,
1902F2001_039, そうですね、わかります。,＊,4.2,-1.6,
1902F2001_040, なにかおすすめのスポーツ観戦はありますか？,私も教えてほしいね,4.8,0.6,
1902F2001_042, そうなんですか．それでは一度独自で調べてみたいと思います．,＊,2.8,-0.6,
1902F2001_043, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,映画見ます,4.8,2,
1902F2001_045, 最近見た映画はありますか？,きみに読む物語を見ました,5.6,1.4,
1902F2001_046, 映画では洋画，邦画，それ以外のどれが好きですか？,＊,5.2,-0.4,
1902F2001_047, 洋画が好きなんですか，おすすめの洋画ってありますか？,フランス映画のエールっていうのがおすすめです,6.2,1,
1902F2001_048, それは一体どういった内容なんですか？,＊,6,-0.2,
1902F2001_048, それは一体どういった内容なんですか？,＊,6,0,
1902F2001_049, それのどういったところが好きなんですか？,耳の聞こえない家族の物語で四人家族で一人だけ耳が聞こえてその女の子が耳の聞こえる聞こえない家族と耳の聞こえる時期の人をつなげていく歌でつなげていくものがかりがすごい好きです,6.2,0.2,
1902F2001_050, なるほど、それは面白そうですね！私も観てみたいです！,＊,4.2,-2,
1902F2001_051, では，もう一度見たい映画はありますか？,アバウトタイムみたいです,5,0.8,
1902F2001_052, もう少し詳しく教えていただいていいですか。,時間を元に戻して恋人と中の同じ時間を過ごすっていう映画なんですけど何回見ても楽しいのでもう1回見たいなって思います,5.2,0.2,
1902F2001_053, すごいですね。,＊,3.8,-1.4,
1902F2001_054, 「映画館」か「テレビ」かどちらでよく映画をみますか？,どちらも同じぐらいにいます,4.8,1,
1902F2001_055, なるほど、そうなんですね。,＊,3.8,-1,
1902F2001_056, ありがとうございました・・,＊,3.8,0,
1902F2001_058, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,洋楽聞きます,4.8,0.8,
1902F2001_059, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,おすすめです,5.4,0.600000000000001,
1902F2001_060, 具体的に教えてください？,sweet の元気っていう曲が大好きです,5.8,0.4,
1902F2001_061, その歌手のどういうところが好きなんですか？,かんとかガールゆうのところ,3.6,-2.2,
1902F2001_062, そうなんですね。,＊,3.8,0.2,
1902F2001_063, 素敵な趣味ですね。,＊,3.6,-0.2,
1902F2001_064, カラオケは好きですか？,＊,4.4,0.8,
1902F2001_065, カラオケでよくなにをうたうのですか？,back number の曲タイム,4.4,0,
1902F2001_066, 具体的にはどういったものですか？,高嶺の花子さんとか瞬きとか結構バックながら中でもどうな曲を歌ってます,4.6,0.199999999999999,
1902F2001_067, とても楽しそうですね。,＊,3.8,-0.8,
1902F2001_068, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,特にないです,2.8,-1,
1902F2001_069, なるほど、そうなんですね。,＊,3.8,1,
1902F2001_070, ありがとうございました・・,＊,3.8,0,
1902F2001_071, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,インスタグラム使っています,4.8,1,
