clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,precanb_23,cls_ID4,ID117,cls_ID
0,10,10,1, その歌手のどういうところが好きなんですか？,音楽, その歌手のどういうところが好きなんですか？,qs_o_s,3,5,0_m_0,0,qs_o_s_5,qs_o_s_3,qs_x_s_16,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_5,5,qs_o_s_5
0,7,7,1, そのきょくのどういうところが好きなんですか？,音楽, その曲のどういうところが好きなんですか？,qs_o_s,4,6,0_m_1,1,qs_o_s_6,qs_o_s_4,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_6,6,qs_o_s_6
0,1,1,1, その作曲者のどういうところが好きなんですか？,音楽, その作曲者のどういうところが好きなんですか？,qs_o_s,5,7,0_m_2,2,qs_o_s_7,qs_o_s_5,qs_x_s_12,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_7,7,qs_o_s_7
1,4,4,1, そうですね、わかります。,default, そうですね、わかります。,re_x_m,0,0,1_d_0,0,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,16,re_x_m_0
1,2,2,1, なるほど、そうなんですね・・,default, なるほど、そうなんですね。,re_x_m,0,0,1_d_0,1,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,17,re_x_m_0
1,47,47,1, なるほど。,default, なるほど。,re_x_m,0,0,1_d_0,2,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,18,re_x_m_0
1,5,5,1, そうですね。,default, そうですね。,re_x_m,0,0,1_d_0,3,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,19,re_x_m_0
1,7,7,1, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。,re_o_m,25,0,1_d_5,5,re_o_m_0,re_o_m_25,qs_o_s_0,qs_o_s_8,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,20,re_x_m_1
2,8,8,1, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？,qs_x_s,0,1,2_m_10,3,qs_x_s_1,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_17,22,qs_x_s_0
2,22,22,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,qs_x_s,0,12,2_m_0,0,qs_x_s_12,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_28,33,qs_x_s_0
