clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,precanb_23,cls_ID4,ID117,cls_ID
0,20,20,1, その中でもおすすめのスイーツはありますか？,食事, その中でもおすすめのスイーツはありますか？,qs_o_s,6,8,0_e_0,0,qs_o_s_8,qs_o_s_6,qs_x_s_24,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_8,8,qs_o_s_8
0,12,12,1, それは「最近」食べられたんですか？,食事, それは最近食べられたんですか？,qs_o_s,7,9,0_e_1,1,qs_o_s_9,qs_o_s_7,qs_x_s_23,qs_x_s_27,qs_x_s_29,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_9,9,qs_o_s_9
0,1,1,1, 具体的にどういう味か教えてください。,食事, 具体的にどういう味か教えてください？,qs_o_s,8,10,0_e_2,2,qs_o_s_10,qs_o_s_8,qs_x_s_27,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_10,10,qs_o_s_10
0,8,8,1, どこで食べられたんですか・・,食事, どこで食べられたんですか？,qs_o_s,9,11,0_e_3,3,qs_o_s_11,qs_o_s_9,qs_x_s_28,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_11,11,qs_o_s_11
1,4,4,1, そうですね、わかります。,default, そうですね、わかります。,re_x_m,0,0,1_d_0,0,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,16,re_x_m_0
1,2,2,1, なるほど、そうなんですね・・,default, なるほど、そうなんですね。,re_x_m,0,0,1_d_0,1,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,17,re_x_m_0
1,47,47,1, なるほど。,default, なるほど。,re_x_m,0,0,1_d_0,2,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,18,re_x_m_0
1,5,5,1, そうですね。,default, そうですね。,re_x_m,0,0,1_d_0,3,re_x_m_0,re_x_m_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,19,re_x_m_0
1,7,7,1, なるほど、よくご存じですね・・,default, なるほど、よくご存じですね。,re_o_m,25,0,1_d_5,5,re_o_m_0,re_o_m_25,qs_o_s_0,qs_o_s_8,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,20,re_x_m_1
2,7,7,1, どんなところに行きますか？和食ですか洋食ですか？,食事, どんなところに行きますか？和食ですか洋食ですか？,qs_x_s,0,22,2_e_0,0,qs_x_s_22,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_38,43,qs_x_s_0
