exchgID,state,action,theme,UI,utterance
00_S,qs_o_s_14_Nx_h_ne,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.057295438156432,
01_S,ct_0,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
01_U,-,-,-,5.262278358282552,公共 入浴
02_S,qs_x_s_31_No_h_po,qs_o_d,default,-, もう少し詳しく教えていただいていいですか。
02_U,-,-,-,5.276485374081868,東京タワーに行ったり
03_S,qs_x_s_31_qs_o_d_0_No_h_po,re_o_m,default,-, たのしそうですね。
03_U,-,-,-,4.380922546248448,
04_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
04_U,-,-,-,5.097625702721789,あまり目的を決めることが多いです
05_S,qs_x_s_32_No_h_po,re_o_m,default,-, いいですね，とても興味深いです！
05_U,-,-,-,4.289376434620068,
06_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
06_U,-,-,-,5.052610589114574,あまり詳しくは知りません
07_S,qs_x_s_28_No_h_ne,change_theme,-,-, *** これから食事の話をしましょう***
07_U,-,-,-,4.061773692889193,はい
08_S,ct_0,qs_x_s,食事,-, お友達とランチに行ったりしますか？
08_U,-,-,-,4.866142731272093,よく行きます
09_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
09_U,-,-,-,5.1664435151241666,やっぱりケーキ
10_S,qs_x_s_29_No_h_po,qs_o_s,食事,-, その中でもおすすめのスイーツはありますか？
10_U,-,-,-,5.018535543544101,フルーツがたくさんの ってるやつ
11_S,qs_o_s_8_No_h_po,qs_o_d,default,-, それのどういったところが好きなんですか？
11_U,-,-,-,5.145352339463528,いろんな 牛屋
12_S,qs_o_s_8_qs_o_d_0_No_h_po,qs_o_d,default,-, もう少し詳しく教えていただいていいですか。
12_U,-,-,-,5.176535174120325,ある時とか
13_S,qs_o_s_8_qs_o_d_0_Nx_h_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
13_U,-,-,-,5.041112617293481,近くのお店で買う
14_S,qs_x_s_24_No_h_po,re_x_d,default,-, なるほど、そうなんですね。
14_U,-,-,-,3.6859968995223378,
15_S,re_x_d_0_Nx_n_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
15_U,-,-,-,5.051394298788413,洋食です
16_S,qs_x_s_22_No_h_po,qs_o_d,default,-, 具体的には何ですか？
16_U,-,-,-,4.962698345385775,大在小学校
17_S,qs_x_s_22_qs_o_d_0_No_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
17_U,-,-,-,5.1694366797614535,甘い方が好きです
18_S,qs_x_s_25_Nx_h_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
18_U,-,-,-,4.990117414563759,最近は ラーメン
19_S,qs_x_s_27_No_n_po,qs_o_s,食事,-, 具体的にどういう味か教えてください。
19_U,-,-,-,5.176982951232674,魚介の出汁の効いた
20_S,qs_o_s_10_No_h_po,re_x_d,default,-, そうなんですね。
20_U,-,-,-,3.7311216339284443,
21_S,re_x_d_0_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
21_U,-,-,-,4.984040456011687,あまり食べない
22_S,qs_x_s_0_Nx_n_ne,change_theme,-,-, *** これからスポーツの話をしましょう***
22_U,-,-,-,3.876244342865445,おーい
23_S,ct_0,qs_x_s,スポーツ,-, 最近スポーツはしましたか？
23_U,-,-,-,4.886518119810809,ほとんどしないし
24_S,qs_x_s_8_Nx_n_ne,qs_x_s,スポーツ,-, どんなスポーツをされますか？
24_U,-,-,-,5.159769486931314,来るんだったら
25_S,qs_x_s_19_Nx_h_ne,change_theme,-,-, *** これから音楽の話をしましょう***
25_U,-,-,-,3.8963155671418344,
26_S,ct_0,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
26_U,-,-,-,4.764205776218338,
27_S,qs_x_s_17_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
27_U,-,-,-,4.621123764231318,マリ
28_S,qs_x_s_20_No_n_po,qs_o_s,音楽,-, その作曲者のどういうところが好きなんですか？
28_U,-,-,-,4.927229676200377,よくわからない
29_S,qs_o_s_7_Nx_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
29_U,-,-,-,4.968139040555982,邦楽が多い
30_S,qs_x_s_12_No_n_po,qs_o_d,default,-, それのどういったところが好きなんですか？
30_U,-,-,-,4.6996199153471245,流行り
31_S,qs_x_s_12_qs_o_d_0_Nx_n_po,qs_x_s,音楽,-, カラオケで歌ったりするのですか？
31_U,-,-,-,4.767260478084069,たまには
32_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
32_U,-,-,-,4.9969422664988805,ほとんど行かない
